Vivado Simulator 2019.2
Time resolution is 1 ps
[42008500000 ns] anode=11111 seg=10010000 anode_off=111
[42012500000 ns] anode=10111 seg=10010000 anode_off=111
[42347500000 ns] anode=11111 seg=11000000 anode_off=111
[42348500000 ns] anode=01111 seg=11000000 anode_off=111
[43008500000 ns] anode=11111 seg=11000000 anode_off=111
[43012500000 ns] anode=01111 seg=11000000 anode_off=111
[43180500000 ns] anode=11111 seg=11000000 anode_off=111
[43181500000 ns] anode=11110 seg=11000000 anode_off=111
[44008500000 ns] anode=11111 seg=11000000 anode_off=111
[44012500000 ns] anode=11110 seg=11000000 anode_off=111
[44013500000 ns] anode=11111 seg=11000000 anode_off=111
[44014500000 ns] anode=11101 seg=11000000 anode_off=111
[44846500000 ns] anode=11111 seg=11000000 anode_off=111
[44847500000 ns] anode=11011 seg=11000000 anode_off=111
[45008500000 ns] anode=11111 seg=11000000 anode_off=111
[45012500000 ns] anode=11011 seg=11000000 anode_off=111
[45679500000 ns] anode=11111 seg=10010000 anode_off=111
[45680500000 ns] anode=10111 seg=10010000 anode_off=111
[46008500000 ns] anode=11111 seg=10010000 anode_off=111
[46012500000 ns] anode=10111 seg=10010000 anode_off=111
[46512500000 ns] anode=11111 seg=11000000 anode_off=111
[46513500000 ns] anode=01111 seg=11000000 anode_off=111
[47008500000 ns] anode=11111 seg=11000000 anode_off=111
[47012500000 ns] anode=01111 seg=11000000 anode_off=111
[47345500000 ns] anode=11111 seg=10010000 anode_off=111
[47346500000 ns] anode=11110 seg=10010000 anode_off=111
[48008500000 ns] anode=11111 seg=10010000 anode_off=111
[48012500000 ns] anode=11110 seg=10010000 anode_off=111
[48178500000 ns] anode=11111 seg=10000010 anode_off=111
[48179500000 ns] anode=11101 seg=10000010 anode_off=111
[49008500000 ns] anode=11111 seg=10000010 anode_off=111
[49011500000 ns] anode=11111 seg=11111000 anode_off=111
[49012500000 ns] anode=11011 seg=11111000 anode_off=111
[49844500000 ns] anode=11111 seg=10100100 anode_off=111
[49845500000 ns] anode=10111 seg=10100100 anode_off=111
[50008500000 ns] anode=11111 seg=10100100 anode_off=111
[50012500000 ns] anode=10111 seg=10100100 anode_off=111
[50677500000 ns] anode=11111 seg=10110000 anode_off=111
[50678500000 ns] anode=01111 seg=10110000 anode_off=111
[51008500000 ns] anode=11111 seg=10110000 anode_off=111
[51012500000 ns] anode=01111 seg=10110000 anode_off=111
[51510500000 ns] anode=11111 seg=11111000 anode_off=111
[51511500000 ns] anode=11110 seg=11111000 anode_off=111
[51762500000 ns] anode=11111 seg=11111000 anode_off=111
[52012500000 ns] anode=11110 seg=11111000 anode_off=111
[52343500000 ns] anode=11111 seg=10000010 anode_off=111
[52344500000 ns] anode=11101 seg=10000010 anode_off=111
[52762500000 ns] anode=11111 seg=10000010 anode_off=111
[53012500000 ns] anode=11101 seg=10000010 anode_off=111
[53176500000 ns] anode=11111 seg=11111000 anode_off=111
[53177500000 ns] anode=11011 seg=11111000 anode_off=111
[53762500000 ns] anode=11111 seg=11111000 anode_off=111
[54009500000 ns] anode=11111 seg=10100100 anode_off=111
